Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
E51505rT,UKRAINE 2,ROUND 1,2025-08-01,06:00,UCSA,Podillya Khmelnytskyi,2.47,2.12,3.95,1.37,2.52,2.52,1.37,0.0,0.0,1.91,3.35,3.45,1.03,9.0,1.3,3.2,1.9,1.74,3.8,1.22,7.5,1.06,1.9,1.8,1.26,1.26,1.83,9.0,7.4,12.5,30.0,5.3,5.3,9.25,22.0,6.7,6.7,11.5,28.0,11.5,11.5,20.0,50.0,350.0
fNsLfzC7,UKRAINE 2,ROUND 1,2025-08-01,08:00,Viktoria,Prykarpattya,2.25,2.02,5.2,1.43,2.55,3.4,1.26,0.0,0.0,1.65,3.35,4.8,1.04,8.5,1.4,2.8,2.32,1.55,4.7,1.16,11.0,1.02,2.27,1.56,1.16,1.26,2.15,7.3,7.6,17.0,55.0,4.15,5.4,12.0,37.0,5.1,6.7,15.0,45.0,8.75,11.25,26.0,80.0,100.0
WjLCLVNh,UKRAINE 1,ROUND 1,2025-08-01,09:30,Kolos Kovalivka,Kryvbas,3.25,1.95,3.3,1.5,2.4,3.41,1.27,8.67,1.04,2.65,3.0,2.65,1.08,7.36,1.47,2.62,2.38,1.59,4.25,1.21,8.52,1.06,1.9,1.72,1.45,1.33,1.47,7.2,6.5,11.25,28.0,6.7,5.6,9.75,24.0,11.5,9.5,15.0,37.0,27.0,23.0,35.0,80.0,700.0
Qsj4bICr,UKRAINE 2,ROUND 1,2025-08-01,10:00,Ahrobiznes Volochysk,Livyi Bereg,3.95,2.05,2.6,1.42,2.37,0.0,0.0,0.0,0.0,3.35,3.25,1.98,1.03,9.0,1.33,3.0,2.06,1.63,4.0,1.2,8.0,1.05,1.83,1.87,1.75,1.27,1.3,7.9,5.0,6.6,12.0,6.7,5.1,6.8,12.5,12.0,9.25,12.0,23.0,29.0,23.0,30.0,55.0,400.0
WnV5ieLt,SLOVAKIA 2,ROUND 2,2025-08-01,12:00,Slovan Bratislava B,Petrzalka,3.05,2.18,3.0,1.34,2.9,2.75,1.38,5.51,1.1,2.52,3.5,2.45,1.04,11.0,1.26,3.15,1.79,1.87,3.25,1.24,5.8,1.06,1.62,2.02,1.53,1.26,1.42,11.5,8.75,12.0,24.0,8.75,6.5,9.0,17.5,12.5,9.25,12.5,25.0,25.0,18.5,25.0,50.0,350.0
jmWy6UZA,FINLAND 1,-,2025-08-01,12:00,VPS,Mariehamn,2.05,2.4,6.0,1.27,3.32,2.43,1.47,5.81,1.09,1.5,4.1,5.25,1.01,15.0,1.17,4.23,1.61,2.12,2.58,1.42,4.41,1.16,1.8,1.95,1.14,1.2,2.38,13.0,15.0,29.0,51.0,7.5,8.5,17.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
Muhf3l8O,UKRAINE 1,ROUND 1,2025-08-01,12:00,Rukh Lviv,SC Poltava,2.42,1.95,5.1,1.53,2.33,3.48,1.26,8.99,1.03,1.78,3.15,4.7,1.09,6.63,1.49,2.5,2.48,1.54,4.52,1.19,9.24,1.04,2.15,1.55,1.17,1.3,1.98,6.6,9.0,22.0,80.0,4.8,6.1,15.5,55.0,6.6,8.25,19.0,70.0,13.0,16.5,37.0,120.0,81.0
O6XyMYNi,FINLAND 2,-,2025-08-01,12:30,Jazz Pori,Inter Turku 2,2.6,2.75,3.0,1.13,4.84,1.83,1.83,3.41,1.25,2.1,3.9,2.63,1.01,26.0,1.04,7.7,1.26,3.39,1.71,1.97,2.58,1.42,1.29,3.5,1.4,1.22,1.62,34.0,21.0,23.0,34.0,19.0,9.5,12.0,19.0,19.0,11.0,10.0,19.0,26.0,15.0,17.0,21.0,51.0
pMLpKCh4,FINLAND 2,-,2025-08-01,13:00,Atlantis,KPV Kokkola,3.5,2.4,2.6,1.22,3.67,2.17,1.59,4.84,1.13,2.9,3.7,2.0,1.01,15.0,1.13,4.84,1.5,2.35,2.22,1.56,3.92,1.2,1.5,2.5,1.67,1.25,1.36,19.0,11.0,12.0,19.0,15.0,8.0,9.0,15.0,19.0,11.0,12.0,21.0,34.0,21.0,23.0,34.0,101.0
WzPF8K4N,POLAND 2,ROUND 3,2025-08-01,13:00,KS Wieczysta Krakow,Pruszkow,2.05,2.4,5.5,1.27,3.32,2.47,1.48,5.81,1.09,1.53,4.33,4.75,1.02,13.0,1.19,4.31,1.64,2.16,2.67,1.45,4.93,1.15,1.8,1.91,1.18,1.2,2.38,15.0,15.0,29.0,51.0,8.0,8.5,15.0,41.0,8.0,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
